gene	name	log2fc	pval	padj
1	ENSG00000169688	MT1B	20.0243621608416	9.85961972760446e-10	1.50521238566785e-08
2	ENSG00000269332	GOLGA2P9	14.6731142367215	1.25287745554218e-08	1.56629781581096e-07
3	ENSG00000172005	MAL	11.05258310843	1.4499689901327e-47	7.36899457637439e-45
4	ENSG00000197430	OPALIN	11.0167371533638	1.46670428079309e-61	1.65912641982488e-58
5	ENSG00000169035	KLK7	10.9903210692703	7.94460587273609e-25	8.31622370564885e-23
6	ENSG00000228408	AL031056.1	10.3102998688952	1.34891811190929e-23	1.28889676921862e-21
7	ENSG00000266844	AC093330.1	10.2513422683448	1.51592520478696e-86	5.31589491562643e-83
8	ENSG00000105695	MAG	10.1129254580321	4.25100948646415e-39	1.25269033329276e-36
9	ENSG00000125144	MT1G	9.95168613175804	6.59795443419113e-27	8.63322642327539e-25
10	ENSG00000197971	MBP	9.84282290674737	7.3946609443602e-96	4.32180958893132e-92
11	ENSG00000127472	PLA2G5	9.81794700148665	5.35744778468205e-35	1.20429244529132e-32
12	ENSG00000117594	HSD11B1	9.67433462487919	2.12703794674341e-19	1.24314732797418e-17
13	ENSG00000268038	LINC01785	9.58072431660663	4.49642600401345e-21	3.2510550656235e-19
14	ENSG00000135426	TESPA1	9.569182898532	6.88025643227193e-30	1.11184309820498e-27
15	ENSG00000269495	AC011483.2	9.39490393060123	4.54360269632705e-23	4.10645659154898e-21
16	ENSG00000167755	KLK6	9.39433532741213	3.00248374836429e-31	5.2908591760749e-29
17	ENSG00000128422	KRT17	9.17085726798133	2.90069048134789e-22	2.39337677904533e-20
18	ENSG00000256193	LINC00507	9.13703943133294	2.04281787734829e-28	2.91201197174686e-26
19	ENSG00000136541	ERMN	9.02331301559406	2.23779816620997e-57	2.06507548143382e-54
20	ENSG00000071991	CDH19	9.00801931702383	5.3396642517437e-21	3.81356428341948e-19
21	ENSG00000225924	TAB2-AS1	8.97022069835371	4.52082401541128e-16	1.77130431003829e-14
22	ENSG00000163793	DNAJC5G	8.94985088411613	5.23848405304796e-17	2.3252901302308e-15
23	ENSG00000164089	ETNPPL	8.9046374315764	2.57741794546225e-42	9.41482448890881e-40
24	ENSG00000168314	MOBP	8.9032249701712	1.07137733668508e-54	8.34888645900793e-52
25	ENSG00000256971	LINC00508	8.89755964853708	8.15308873395296e-19	4.46725566614888e-17
26	ENSG00000285885	AC092058.1	8.87563287637448	4.14684265161012e-43	1.58062316591318e-40
27	ENSG00000233123	LINC01007	8.82641036049292	3.9502481047479e-27	5.30740805705726e-25
28	ENSG00000189275	LINC01164	8.77838609244299	3.32689663314574e-16	1.31973172210998e-14
29	ENSG00000206195	DUXAP8	8.77381300950733	3.34463636111568e-14	1.04533300601821e-12
30	ENSG00000169562	GJB1	8.74462081583336	3.51291742988961e-29	5.42676103585634e-27
31	ENSG00000259823	LYPD8	8.72272305066152	1.03432218043268e-19	6.26434816947024e-18
32	ENSG00000204655	MOG	8.69505053195272	4.75910060012705e-50	3.03431601353919e-47
33	ENSG00000269945	AC004817.4	8.61614086316228	1.77016429096228e-20	1.18689008013718e-18
34	ENSG00000012124	CD22	8.53420787091762	1.00540243881121e-42	3.71120498124135e-40
35	ENSG00000206145	P2RX6P	8.53151715819178	1.28797742499632e-18	6.8849854210893e-17
