SRX683795	SRX683796	SRX683799	SRX683793	SRX683794	SRX683797
ENSG00000000003	2432	6013	1585	352	350	226
ENSG00000000005	4	13	8	11	4	2
ENSG00000000419	1636	3212	1190	992	252	692
ENSG00000000457	1963	3945	1403	446	144	519
ENSG00000000460	1382	3293	875	221	91	224
ENSG00000000938	94	232	94	180	168	116
ENSG00000000971	387	2724	2263	265	758	326
ENSG00000001036	1002	2265	770	668	316	400
ENSG00000001084	1614	2903	1270	2192	504	1490
ENSG00000001167	8304	15224	6077	737	485	772
ENSG00000001460	544	391	598	1114	188	1082
ENSG00000001461	1483	2166	845	5716	953	5532
ENSG00000001497	9561	14817	5168	2252	723	1570
ENSG00000001561	813	2363	1650	2848	453	2034
ENSG00000001617	4938	6092	1935	199	117	153
ENSG00000001626	467	1360	383	193	35	115
ENSG00000001629	12106	25554	10443	2485	1048	2237
ENSG00000001630	10846	26952	15910	4755	1064	3562
ENSG00000001631	3560	7332	2354	1526	362	1367
ENSG00000002016	2474	6032	1546	569	153	442
ENSG00000002079	33	56	17	7	7	13
ENSG00000002330	1724	3478	1799	1812	1719	1282
ENSG00000002549	1772	3418	1291	1644	916	946
ENSG00000002586	1699	3709	834	1298	928	245
ENSG00000002587	4806	6026	1124	298	93	341
ENSG00000002726	4	4	1	0	1	0
ENSG00000002745	94	975	59	99	10	75
ENSG00000002746	6739	13592	6293	2340	220	3904
ENSG00000002822	2190	3523	1494	876	252	561
ENSG00000002834	22082	41840	18076	5061	1754	5126
ENSG00000002919	1212	2303	998	796	319	564
ENSG00000002933	21	42	50	282	329	72
ENSG00000003056	3441	7431	2853	2161	614	1912
ENSG00000003096	2853	1719	1424	163	118	228
ENSG00000003137	1304	522	1829	1387	164	1964
ENSG00000003147	1321	1131	973	1549	268	1503
ENSG00000003249	4247	6680	4436	3764	1126	3328
ENSG00000003393	11526	14347	6975	2199	428	2605
ENSG00000003400	166	431	170	131	41	97
ENSG00000003402	6110	12675	4241	1480	1046	1199
ENSG00000003436	1018	2819	572	47	218	80
ENSG00000003509	2279	4786	1402	653	174	555
ENSG00000003756	35299	64707	19528	5536	1346	4311
ENSG00000003987	4266	8179	4056	1966	263	2197
ENSG00000003989	260	987	282	623	707	242
ENSG00000004059	7288	11407	5755	4597	1626	3260
ENSG00000004139	11901	19915	9087	1843	772	1736
ENSG00000004142	6168	10839	4442	4053	1478	2724
ENSG00000004399	2154	3825	2135	2790	1376	2463
ENSG00000004455	6393	10259	3242	1870	855	1122
ENSG00000004468	67	558	19	435	517	89
ENSG00000004478	12102	23323	8595	5337	1204	4055
ENSG00000004487	19569	35120	11351	1894	567	1990
ENSG00000004534	29015	44256	13981	3765	2032	3411
ENSG00000004660	3756	5483	2503	8327	754	7111
ENSG00000004700	3028	6628	2176	889	313	676
ENSG00000004766	4603	7884	4762	2009	305	2316
ENSG00000004776	148	345	40	983	718	517
ENSG00000004777	30275	48330	22342	3739	1034	2587
ENSG00000004779	2454	4356	2143	1879	525	1363
ENSG00000004799	572	1088	144	1062	1209	431
